Bk,100,111,-60,SFProText-Semibold
Bl,100,75,-60,SFProText-Semibold
Bm,100,139,-60,SFProText-Semibold
Bn,100,109,-60,SFProText-Semibold
Bo,100,111,-60,SFProText-Semibold
Bp,100,113,-60,SFProText-Semibold
Bq,100,111,-60,SFProText-Semibold
Br,100,94,-60,SFProText-Semibold
Bs,100,105,-60,SFProText-Semibold
Bt,100,89,-60,SFProText-Semibold
Bu,100,108,-60,SFProText-Semibold
Bv,100,109,-60,SFProText-Semibold
Bw,100,133,-60,SFProText-Semibold
Bx,100,107,-60,SFProText-Semibold
By,100,109,-60,SFProText-Semibold
Bz,100,104,-60,SFProText-Semibold
CA,100,128,-60,SFProText-Semibold
CB,100,126,-60,SFProText-Semibold
CC,100,130,-60,SFProText-Semibold
CD,100,131,-60,SFProText-Semibold
CE,100,117,-60,SFProText-Semibold
CF,100,116,-60,SFProText-Semibold
CG,100,132,-60,SFProText-Semibold
CH,100,131,-60,SFProText-Semibold
CI,100,84,-60,SFProText-Semibold
CJ,100,112,-60,SFProText-Semibold
CK,100,129,-60,SFProText-Semibold
CL,100,116,-60,SFProText-Semibold
CM,100,143,-60,SFProText-Semibold
CN,100,130,-60,SFProText-Semibold
CO,100,135,-60,SFProText-Semibold
CP,100,123,-60,SFProText-Semibold
CQ,100,135,-60,SFProText-Semibold
CR,100,126,-60,SFProText-Semibold
CS,100,123,-60,SFProText-Semibold
CT,100,121,-60,SFProText-Semibold
CU,100,129,-60,SFProText-Semibold
CV,100,129,-60,SFProText-Semibold
CW,100,158,-60,SFProText-Semibold
CX,100,127,-60,SFProText-Semibold
CY,100,126,-60,SFProText-Semibold
CZ,100,123,-60,SFProText-Semibold
Ca,100,113,-60,SFProText-Semibold
Cb,100,122,-60,SFProText-Semibold
Cc,100,116,-60,SFProText-Semibold
Cd,100,118,-60,SFProText-Semibold
Ce,100,117,-60,SFProText-Semibold
Cf,100,98,-60,SFProText-Semibold
Cg,100,118,-60,SFProText-Semibold
Ch,100,117,-60,SFProText-Semibold
Ci,100,83,-60,SFProText-Semibold
Cj,100,83,-60,SFProText-Semibold
Ck,100,119,-60,SFProText-Semibold
Cl,100,83,-60,SFProText-Semibold
Cm,100,147,-60,SFProText-Semibold
Cn,100,117,-60,SFProText-Semibold
Co,100,119,-60,SFProText-Semibold
Cp,100,121,-60,SFProText-Semibold
Cq,100,119,-60,SFProText-Semibold
Cr,100,102,-60,SFProText-Semibold
Cs,100,113,-60,SFProText-Semibold
Ct,100,97,-60,SFProText-Semibold
Cu,100,116,-60,SFProText-Semibold
Cv,100,117,-60,SFProText-Semibold
Cw,100,141,-60,SFProText-Semibold
Cx,100,115,-60,SFProText-Semibold
Cy,100,117,-60,SFProText-Semibold
Cz,100,112,-60,SFProText-Semibold
DA,100,125,-60,SFProText-Semibold
DB,100,124,-60,SFProText-Semibold
