,First,Second,Fontsize,Tracking,Distance,
,m,z,60,24,40.0,
,m,z,62,-4,40.0,
,z,m,60,40,40.0,
,z,w,64,24,40.0,
,z,w,64,20,40.0,
,m,z,68,-40,40.0,
,z,m,66,-28,40.0,
,z,m,66,-24,40.0,
,m,z,66,-24,40.0,
,z,m,66,-32,40.0,
,z,w,52,-40,40.0,
,z,w,64,28,40.0,
,m,z,62,-8,40.0,
,z,w,64,16,40.0,
,m,z,60,28,40.0,
,m,z,66,-8,40.0,
,z,m,66,-40,40.0,
,m,z,62,8,40.0,
,z,m,62,28,40.0,
,z,w,68,-24,39.5,
,z,m,64,-16,39.5,
,m,z,64,-16,39.5,
,z,w,70,-36,39.5,
,z,w,62,24,39.5,
,m,z,64,0,39.5,
,z,w,62,32,39.5,
,w,z,70,-20,39.5,
,m,z,64,-4,39.5,
,l,z,64,-28,39.5,
,z,w,68,-32,39.5,
,d,z,72,36,39.5,
,z,w,68,-36,39.5,
,d,z,72,32,39.5,
,g,z,72,32,39.5,
,z,p,72,32,39.5,
,q,z,72,32,39.5,
,m,z,58,36,39.5,
,z,w,62,36,39.5,
,z,w,66,-4,39.5,
,z,w,62,20,39.5,
,z,w,70,-32,39.5,
,z,m,64,-12,39.5,
,m,z,64,-12,39.5,
,d,z,72,24,39.5,
,z,p,72,24,39.5,
,z,w,70,-40,39.5,
,z,p,72,40,39.5,
,q,z,72,40,39.5,
,z,w,66,-12,39.5,
,w,z,66,20,39.5,
,w,z,66,24,39.5,
,z,w,62,40,39.5,
,f,t,72,-36,39.5,
,z,w,66,-16,39.5,
,m,z,58,40,39.5,
,w,z,66,16,39.5,
,z,m,66,-36,39.5,
,m,z,66,-36,39.5,
,z,w,66,-20,39.5,
,w,z,70,-16,39.5,
,z,m,64,-36,39.5,
,d,z,72,28,39.5,
,q,z,72,28,39.5,
,z,m,64,-20,39.5,
,z,m,64,-24,39.5,
,z,w,68,-28,39.5,
,z,m,64,-32,39.5,
,z,w,62,28,39.5,
,z,b,72,20,39.0,
,z,m,60,20,39.0,
,m,z,60,20,39.0,
,z,w,64,0,39.0,
,z,m,62,4,39.0,
,z,w,60,36,39.0,
,g,z,72,36,39.0,
,q,z,72,36,39.0,
,z,b,72,32,39.0,
,z,b,70,36,39.0,
,z,p,70,36,39.0,
,z,w,64,4,39.0,
,z,m,60,24,39.0,
,w,z,64,32,39.0,
,z,b,72,40,39.0,
,g,z,72,40,39.0,
,z,h,72,40,39.0,
,u,z,72,40,39.0,
,w,z,64,24,39.0,
,d,z,70,40,39.0,
,z,p,70,40,39.0,
,q,z,70,40,39.0,
,w,z,64,36,39.0,
